section,question,type,required,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8
基本評価,今回のテーマについて現在のあなたの考えに最も近いものを選んでください。,MULTIPLE_CHOICE,TRUE,強く賛成,やや賛成,どちらともいえない,やや反対,強く反対,,,
主張と根拠,AとBのどちらの立場の方が全体として説得力があると感じましたか。,MULTIPLE_CHOICE,TRUE,A（賛成側）,B（反対側）,AとBは同程度,どちらとも判断できない,,,, 
主張と根拠,最も説得力があると考えた主張を1つ選んでください。,MULTIPLE_CHOICE,TRUE,Aの第1論点,Aの第2論点,Aの第3論点,Bの第1論点,Bの第2論点,Bの第3論点,判断できない,
主張と根拠,選んだ主張を説得的だと考えた主な理由を1つ選んでください。,MULTIPLE_CHOICE,TRUE,主張と根拠の関係が明確だった,具体例・データ・事実が示されていた,相手の反論に適切に答えていた,実現可能性が高かった,用語や前提が明確だった,表現が分かりやすかった,特に理由はない,
主張と根拠,追加の確認・検証が最も必要だと思う主張を1つ選んでください。,MULTIPLE_CHOICE,TRUE,Aの第1論点,Aの第2論点,Aの第3論点,Bの第1論点,Bの第2論点,Bの第3論点,AとBの両方,特にない
反論と整理,自分の最初の考えを見直すきっかけになったものを1つ選んでください。,MULTIPLE_CHOICE,TRUE,Aの主張,Bの主張,AからBへの反論,BからAへの反論,Cの論点整理,Cの最終まとめ,特にない,
反論と整理,Cの最終整理について最も近い評価を1つ選んでください。,MULTIPLE_CHOICE,TRUE,AとBの主張を公平に整理していた,A側の主張を十分に扱っていなかった,B側の主張を十分に扱っていなかった,対立点と合意点を適切に区別していた,未解決の論点を適切に示していた,根拠のない結論を追加していた,判断できない,
LLMの改善,次回LLMに最初に追加すべき指示を1つ選んでください。,MULTIPLE_CHOICE,TRUE,主張ごとに根拠や出典を示すよう求める,相手の最も強い反論に答えるよう求める,用語や前提を明確にするよう求める,不確実な点を明示するよう求める,具体例を追加するよう求める,反論と再反論を対応付けるよう求める,発言を短く整理するよう求める,
転移,今回のテーマと類似した新しい状況ではどの判断をしますか。,MULTIPLE_CHOICE,TRUE,類似した状況でも賛成する,類似した状況でも反対する,条件によって判断が変わる,追加情報を確認してから判断する,判断できない,,,
確信度,今回の自分の回答にどの程度自信がありますか。,LINEAR_SCALE,TRUE,1：まったく自信がない,2,3,4,5：非常に自信がある,,, 
